SEQENCE ID                     TM SP PREDICTION
A0A384L1G8                      0  Y n12-23c27/28o
A0A3N4BCC7                      0  0 o
A0A5P8YCT0                      0  0 o
O68691                          0  0 o
P17811                          0  Y n4-15c20/21o
Q74Y23                          0  0 o
Q8Z9S7                          0  0 o
Q8Z9U1                          0  0 o
Q8ZAN0                          0  0 o
Q8ZCR0                          0  0 o
Q9X6B0                          0  Y n5-15c23/24o
A0A2U2GXL5                      0  0 o
A0A380PIL6                      0  Y n7-17c24/25o
A0A380PK62                      0  0 o
A0A380PKJ8                      0  0 o
A0A380PMQ0                      0  0 o
A0A384KQV0                      0  0 o
A0A3N4B351                      0  0 o
A0A3N4BT68                      0  0 o
A0A5P8YCB4                      1  0 i68-89o
A0A5P8YCE6                      1  Y n5-16c21/22o98-119i
A0A5P8YKD6                      0  0 o
O68703                          0  0 o
O69169                          0  0 o
O69172                          0  Y n3-12c17/18o
P33086                          0  0 o
P58680                          0  0 o
P59324                          0  0 o
Q0WJU2                          0  0 o
Q0WKI4                          0  0 o
Q56952                          0  Y n12-23c31/32o
Q74RZ6                          0  0 o
Q7ARI8                          0  0 o
Q7CFU4                          0  0 o
Q7CHH5                          0  Y n16-26c30/31o
Q7CJM9                          0  0 o
Q8D0M6                          0  0 o
Q8ZAB3                          0  0 o
Q8ZAE1                         11  0 o6-24i45-65o71-89i101-119o131-149i161-179o185-206i213-232o244-263i294-312o318-337i
Q8ZAQ5                          0  0 o
Q8ZBN1                          0  0 o
Q8ZBN6                          0  0 o
Q8ZBZ9                          0  0 o
Q8ZC05                          0  0 o
Q8ZC17                          0  0 o
Q8ZC49                          0  0 o
Q8ZCA7                          8  0 i312-332o344-365i377-399o411-429i563-585o591-614i905-924o930-951i
Q8ZCF3                          0  Y n13-23c31/32o
Q8ZCP8                          0  0 o
Q8ZD45                          0  0 o
Q8ZD72                          0  0 o
Q8ZDA6                          0  0 o
Q8ZDL2                          0  0 o
Q8ZDX8                          0  0 o
Q8ZE60                          0  Y n4-13c18/19o
Q8ZEY2                          0  0 o
Q8ZFL4                          0  Y n8-19c37/38o
Q8ZFR1                          0  Y n40-47c51/52o
Q8ZFU4                          0  0 o
Q8ZG77                          0  Y n5-16c21/22o
Q8ZG80                          0  0 o
Q8ZH09                          0  0 o
Q8ZHF4                          0  0 o
Q8ZI60                          0  0 o
Q8ZI64                          0  0 o
Q8ZIF4                          0  0 o
Q8ZIL4                          0  Y n9-16c21/22o
Q8ZIL5                          0  0 o
Q8ZJM6                          0  0 o
Q8ZJP0                          0  0 o
Q9ETB0                          0  0 o
Q9RI12                          0  0 o
A0A0H2VZY4                      0  0 o
A0A0H2W2E8                      6  0 o6-26i38-58o64-80i92-113o152-179i191-212o
A0A0H2W2N9                      0  Y n4-15c27/28o
A0A0H2W2Y2                      1  0 i21-41o
A0A0H2W3M7                     15  0 o16-38i59-79o103-127i139-160o189-215i227-255o275-298i310-334o346-368i380-403o415-440i452-474o494-518i585-603o609-627i
A0A0H2W7F7                      0  0 o
A0A0H2W8A6                      9  0 o34-52i72-90o96-115i161-178o184-201i208-225o293-314i326-350o362-381i
A0A2S9PAN3                      0  0 o
A0A2S9PB05                      0  0 o
A0A2S9PC51                      0  0 o
A0A2S9PCC5                      1  0 i28-51o
A0A2S9PCE7                      0  0 o
A0A2S9PCG6                      0  0 o
A0A2S9PG36                      0  0 o
A0A2S9PGE8                      6  0 i15-35o41-61i133-156o162-182i243-266o278-301i
A0A2S9PGQ4                      0  0 o
A0A2S9PHC7                      1  0 o20-40i
A0A2S9PI87                      0  0 o
A0A2S9PIH8                      0  0 o
A0A2S9PJA9                      0  0 o
A0A2S9PKI4                      0  0 o
A0A2S9PKW4                      0  0 o
A0A2S9PLB3                      0  0 o
A0A2S9PLG4                      0  0 o
A0A2S9PLS3                      0  0 o
A0A2S9PLT9                      0  0 o
A0A2S9PLX9                      0  0 o
A0A2S9PM60                      0  0 o
A0A2S9PM76                      0  0 o
A0A2S9PME5                      0  0 o
A0A2S9PMF8                      0  0 o
A0A2U2GV34                      0  0 o
A0A2U2GV86                      0  0 o
A0A2U2GVY7                      0  0 o
A0A2U2GW98                      0  0 i
A0A2U2GWD1                      0  0 o
A0A2U2GY11                      9  0 o18-38i50-68o74-93i136-154o160-176i183-202o272-293i305-332o338-359i
A0A2U2GYU7                      0  0 o
A0A2U2GZM3                      0  0 o
A0A2U2H088                     17  Y n3-14c19/20o29-50i62-80o86-107i119-136o142-161i173-193o213-231i252-270o282-303i310-328o334-357i377-400o406-433i454-475o495-516i528-547o595-613i
A0A2U2H0A3                      0  0 o
A0A2U2H0K6                      0  Y n4-15c24/25o
A0A2U2H0Z1                      0  0 o
A0A2U2H1V4                      0  Y n7-16c21/22o
A0A2U2H2A6                      6  0 o12-31i38-55o75-94i106-128o140-160i172-196o
A0A2U2H3E7                      0  0 o
A0A2U2H3L4                      0  0 o
A0A2U2H3S9                      0  Y n8-18c23/24o
A0A2U2H3X0                      0  0 o
A0A2U2H3Z1                      0  0 o
A0A2U2H408                      0  0 o
A0A2U2H471                      0  0 o
A0A380PEX2                      0  0 o
A0A380PEX7                      0  0 o
A0A380PG00                      0  0 o
A0A380PG09                      0  0 o
A0A380PGI3                      0  0 o
A0A380PGV7                      0  0 o
A0A380PH99                      0  0 o
A0A380PI11                      0  0 o
A0A380PJR2                      0  0 o
A0A380PKJ0                      0  0 o
A0A380PKN5                      0  0 o
A0A380PL54                      0  0 o
A0A380PLQ4                      0  0 o
A0A380PME5                      0  0 o
A0A380PMK0                      0  0 o
A0A380PN24                      0  0 o
A0A380PNL1                      0  0 o
A0A380SC20                      0  0 o
A0A384L7T2                      0  0 o
A0A384LK85                      0  Y n44-55c60/61o
A0A3N4AYG9                      0  0 o
A0A3N4AYX8                      0  Y n4-12c17/18o
A0A3N4B064                      0  0 o
A0A3N4B0Q2                      0  0 o
A0A3N4B0Y7                      0  0 o
A0A3N4B0Z4                      0  0 o
A0A3N4B123                      0  0 o
A0A3N4B157                      1  0 o6-23i
A0A3N4B1S2                      0  0 i
A0A3N4B1Y6                      0  0 i
A0A3N4B5A3                      1  0 i21-43o
A0A3N4B6K1                      0  0 o
A0A3N4B6L4                      0  0 o
A0A3N4B6X2                      0  0 o
A0A3N4B9H3                      0  0 o
A0A3N4BAZ3                      0  0 o
A0A3N4BEK2                      0  0 o
A0A3N4BEU0                      0  0 o
A0A3N4BGS6                      0  0 o
A0A3N4BJH7                      1  0 o20-45i
A0A3N4BLI0                      0  Y n3-11c16/17o
A0A3N4BMJ4                      0  0 o
A0A3N4BNY5                      0  0 o
A0A3N4BRI6                      0  0 o
A0A5P8YAI7                      0  0 o
A0A5P8YAV0                      0  0 o
A0A5P8YB25                      8  0 i166-183o189-207i219-237o243-260i391-412o418-442i740-758o764-783i
A0A5P8YB34                      0  0 o
A0A5P8YB67                      0  0 o
A0A5P8YB96                      0  0 o
A0A5P8YBJ1                      0  0 o
A0A5P8YBU8                      0  0 o
A0A5P8YBY3                      0  Y n10-21c27/28o
A0A5P8YC09                      0  0 o
A0A5P8YCI1                      0  0 o
A0A5P8YCM5                      0  0 o
A0A5P8YCN9                      0  0 o
A0A5P8YD92                      0  0 o
A0A5P8YE29                      2  0 i24-46o324-347i
A0A5P8YEE8                      0  0 o
A0A5P8YF73                      0  0 o
A0A5P8YFB8                      0  0 o
A0A5P8YFI9                      0  0 o
A0A5P8YFJ9                      0  0 i
A0A5P8YG10                      0  0 o
A0A5P8YGH9                      0  0 o
A0A5P8YH58                      0  0 o
A0A5P8YHG7                      0  0 o
A0A5P8YHZ4                      0  0 o
A0A5P8YI04                      0  0 o
A0A5P8YIA2                      0  0 o
A0A5P8YIK0                      0  0 o
A0A5P8YIQ8                      0  Y n13-21c26/27o
A0A5P8YIW2                      0  Y n4-12c17/18o
A0A5P8YJ65                      0  0 o
A0A5P8YJ91                      0  0 o
A0A5P8YJG2                      0  0 o
A0A5P8YJH5                      0  0 o
A0A5P8YJX5                      0  0 o
A0A5P8YK99                      0  0 o
A0A5P8YKA9                      0  0 o
A0A5P8YKJ8                      0  0 o
A0A5P8YKN0                      0  Y n6-18c36/37o
A0A5P8YKP4                      0  0 o
A0A5P8YKR3                      0  0 o
A0A5P8YKX6                      0  0 o
A0A5P8YKZ2                      0  Y n4-13c20/21o
A0A5P8YL20                      0  0 o
A0A5P8YL22                      0  0 o
A0A5P8YL96                      1  0 o6-26i
A0A5P8YLE9                      9  0 i21-39o45-64i98-119o125-145i157-175o181-200i228-246o252-272i284-304o
A0A5P8YLN8                      0  0 o
A0A5P8YLP6                      0  Y n3-8c13/14o
A0A5P8YLU9                      0  0 o
A0A5P8YLY5                      0  0 o
A0A5P8YM39                      0  0 o
A0A5P8YMT9                      0  0 o
A0A5P8YN87                      0  Y n5-10c18/19o
A0A7Y8UQ71                      0  Y n4-14c20/21o
O68690                          0  0 o
O68692                          0  0 o
P0C7U7                          0  0 o
P17778                          0  0 o
P26926                          0  Y n6-17c23/24o
P31493                          0  Y n3-11c19/20o
P31522                          0  Y n10-21c26/27o
P37858                          0  0 o
P40127                          0  0 o
P46355                          0  0 o
P46357                          0  0 o
P46359                          0  Y n6-16c22/23o
P58411                          1  0 i12-30o
P58471                          0  0 o
P58475                          0  0 o
P58482                          0  0 o
P58487                          0  0 o
P58492                          1  0 i7-26o
P58497                          0  0 o
P58507                          0  0 o
P58526                          0  0 o
P58534                          0  0 o
P58540                          0  0 o
P58543                          0  0 o
P58582                          0  0 o
P58611                          0  0 o
P58636                          0  0 o
P58644                          0  0 o
P58647                          0  0 o
P58672                          0  0 o
P58719                          0  0 o
P61380                          0  0 o
P68590                          0  0 o
P68641                          0  0 o
P68706                          2  0 o12-32i53-76o
P69953                          0  0 o
P69965                          1  0 i12-30o
P69972                          1  Y n5-16c21/22o218-240i
P69976                          0  0 o
P69988                          0  0 o
P69990                          0  0 i
P69992                          0  0 i
P69994                          0  0 o
Q0W9V5                          0  0 o
Q0WAF0                          0  0 o
Q0WAJ7                          0  0 o
Q0WAP0                          0  0 o
Q0WAP4                          0  0 o
Q0WAY7                          0  0 i
Q0WB94                          0  0 o
Q0WBC0                          0  0 o
Q0WBC9                          0  0 o
Q0WBD0                          0  Y n5-16c24/25o
Q0WBF9                          0  0 o
Q0WBN8                          0  0 o
Q0WBP7                          0  0 o
Q0WCB5                          9  0 i12-30o36-60i81-102o108-127i134-156o162-183i209-228o234-252i264-281o
Q0WCK4                          0  0 o
Q0WCN4                          0  0 o
Q0WD07                          0  0 i
Q0WD32                          0  0 o
Q0WDC3                          0  0 o
Q0WDR2                          0  0 o
Q0WDX2                          3  0 o12-37i68-90o96-118i
Q0WEF0                          0  Y n6-15c23/24o
Q0WEG0                         14  0 i35-54o60-81i90-107o113-131i152-173o179-200i221-238o244-261i273-292o323-341i353-374o386-411i423-443o455-478i
Q0WEI1                          0  0 o
Q0WER5                          0  0 o
Q0WEY9                          0  0 o
Q0WEZ8                          0  0 o
Q0WF87                          4  0 o6-25i37-56o62-83i90-108o
Q0WFU0                          7  0 o6-26i38-58o70-88i117-142o148-171i183-203o248-264i
Q0WFU3                          0  0 o
Q0WGE8                          0  0 o
Q0WGS0                          0  0 o
Q0WHP9                          0  0 o
Q0WHW5                          0  0 o
Q0WIC8                          0  0 o
Q0WJ78                          0  0 o
Q0WJE4                          0  0 o
Q0WJP9                          0  0 o
Q0WJT0                          0  0 o
Q0WJT1                          0  0 o
Q0WJY2                          0  0 o
Q0WJZ4                          3  0 i30-48o54-76i97-118o
Q0WKA0                          0  0 o
Q0WKI9                          0  0 o
Q56953                          0  0 o
Q56973                          0  0 o
Q56974                          0  Y n12-20c26/27o
Q56989                          0  Y n13-24c28/29o
Q56993                          0  0 o
Q60112                          0  0 o
Q74PI5                          0  0 o
Q74PY8                          0  0 o
Q74R28                          0  0 o
Q74R94                          0  0 o
Q74RF8                          6  0 i21-46o91-117i129-150o170-188i209-234o265-288i
Q74RQ9                          0  0 o
Q74SF4                          0  0 o
Q74SQ6                          0  Y n6-17c21/22o
Q74TF8                          3  Y n5-16c24/25o40-61i68-88o94-112i
Q74X11                          0  0 o
Q74XX5                          0  0 o
Q74Y45                          0  0 o
Q74Y93                          0  0 o
Q7CFM8                          0  0 o
Q7CFR2                          0  0 o
Q7CG00                          0  0 o
