SeqID	Localization	Score
A0A5P8YCB4 	CytoplasmicMembrane	9.99
A0A5P8YCE6 	CytoplasmicMembrane	9.99
Q8ZAE1 	CytoplasmicMembrane	10.00
Q8ZCA7 	CytoplasmicMembrane	10.00
Q8ZD45 	CytoplasmicMembrane	9.55
A0A0H2W2E8 	CytoplasmicMembrane	10.00
A0A0H2W2Y2 	CytoplasmicMembrane	9.51
A0A0H2W3M7 	CytoplasmicMembrane	10.00
A0A0H2W8A6 	CytoplasmicMembrane	10.00
A0A2S9PCC5 	CytoplasmicMembrane	9.99
A0A2S9PGE8 	CytoplasmicMembrane	10.00
A0A2S9PHC7 	CytoplasmicMembrane	9.96
A0A2U2GY11 	CytoplasmicMembrane	10.00
A0A2U2H088 	CytoplasmicMembrane	10.00
A0A2U2H2A6 	CytoplasmicMembrane	10.00
A0A3N4B157 	Cytoplasmic	7.50
A0A3N4B5A3 	CytoplasmicMembrane	9.96
A0A3N4BJH7 	CytoplasmicMembrane	8.78
A0A5P8YB25 	CytoplasmicMembrane	10.00
A0A5P8YE29 	CytoplasmicMembrane	10.00
A0A5P8YL96 	Unknown	3.33
A0A5P8YLE9 	CytoplasmicMembrane	10.00
P58411 	CytoplasmicMembrane	9.96
P58492 	CytoplasmicMembrane	9.99
P68706 	CytoplasmicMembrane	10.00
P69965 	Unknown	2.50
P69972 	CytoplasmicMembrane	9.87
Q0WCB5 	CytoplasmicMembrane	10.00
Q0WCN4 	Cytoplasmic	7.50
Q0WDX2 	CytoplasmicMembrane	10.00
Q0WEG0 	CytoplasmicMembrane	10.00
Q0WF87 	CytoplasmicMembrane	10.00
Q0WFU0 	CytoplasmicMembrane	10.00
Q0WJZ4 	CytoplasmicMembrane	10.00
Q74RF8 	CytoplasmicMembrane	10.00
Q74TF8 	CytoplasmicMembrane	10.00
Q7CGD9 	Unknown	5.69
Q7CHI2 	CytoplasmicMembrane	10.00
Q7CI09 	Extracellular	9.60
Q7CIC6 	CytoplasmicMembrane	10.00
Q7CJ84 	CytoplasmicMembrane	10.00
Q7CJ87 	CytoplasmicMembrane	10.00
Q7CJG3 	CytoplasmicMembrane	10.00
Q7CJM7 	Unknown	2.50
Q8D124 	CytoplasmicMembrane	10.00
Q8Z9U3 	CytoplasmicMembrane	10.00
Q8ZA77 	Cytoplasmic	7.50
Q8ZAE4 	Cytoplasmic	9.97
Q8ZAG5 	CytoplasmicMembrane	9.96
Q8ZAH6 	CytoplasmicMembrane	9.99
