# SignalP-5.0	Organism: euk	Timestamp: 20260407200058
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
A0A5P8YFQ6	SP(Sec/SPI)	0.993539	0.006461	CS pos: 18-19. CSS-IS. Pr: 0.5173
A0A5P8YFS9	OTHER	0.007759	0.992241	
A0A5P8YFV1	SP(Sec/SPI)	0.998497	0.001503	CS pos: 19-20. CSS-HT. Pr: 0.8384
A0A5P8YFV9	OTHER	0.198457	0.801543	
A0A5P8YFW7	OTHER	0.000686	0.999314	
A0A5P8YG00	OTHER	0.003605	0.996395	
A0A5P8YG05	OTHER	0.001622	0.998378	
A0A5P8YG14	OTHER	0.007602	0.992398	
A0A5P8YG25	OTHER	0.000458	0.999542	
A0A5P8YG30	OTHER	0.003603	0.996397	
A0A5P8YG32	OTHER	0.180231	0.819769	
A0A5P8YG44	OTHER	0.001049	0.998951	
A0A5P8YG50	OTHER	0.456853	0.543147	
A0A5P8YG55	OTHER	0.002502	0.997498	
A0A5P8YG76	OTHER	0.031766	0.968234	
A0A5P8YG78	OTHER	0.001993	0.998007	
A0A5P8YG83	OTHER	0.004408	0.995592	
A0A5P8YG95	OTHER	0.011558	0.988442	
A0A5P8YG97	OTHER	0.001508	0.998492	
A0A5P8YGB6	OTHER	0.000917	0.999083	
A0A5P8YGB8	OTHER	0.003562	0.996438	
A0A5P8YGC9	OTHER	0.001019	0.998981	
A0A5P8YGE1	OTHER	0.001621	0.998379	
A0A5P8YGE8	OTHER	0.013375	0.986625	
A0A5P8YGH4	OTHER	0.002554	0.997446	
A0A5P8YGI6	OTHER	0.007612	0.992388	
A0A5P8YGJ7	OTHER	0.025804	0.974196	
A0A5P8YGJ8	OTHER	0.000665	0.999335	
A0A5P8YGJ9	OTHER	0.002289	0.997711	
A0A5P8YGK5	OTHER	0.054173	0.945827	
A0A5P8YGL2	OTHER	0.000675	0.999325	
A0A5P8YGM3	SP(Sec/SPI)	0.541249	0.458751	CS pos: 39-40. SQA-ET. Pr: 0.3634
A0A5P8YGN4	OTHER	0.001093	0.998907	
A0A5P8YGN6	OTHER	0.001475	0.998525	
A0A5P8YGP4	SP(Sec/SPI)	0.996039	0.003961	CS pos: 20-21. AMA-DN. Pr: 0.9480
A0A5P8YGP5	OTHER	0.000808	0.999192	
A0A5P8YGQ4	OTHER	0.000315	0.999685	
A0A5P8YGQ6	OTHER	0.002850	0.997150	
A0A5P8YGQ9	OTHER	0.001730	0.998270	
A0A5P8YGS9	SP(Sec/SPI)	0.574092	0.425908	CS pos: 26-27. VSG-GL. Pr: 0.4976
A0A5P8YGT0	OTHER	0.007963	0.992037	
A0A5P8YGT7	OTHER	0.000138	0.999862	
A0A5P8YGU1	OTHER	0.001509	0.998491	
A0A5P8YGU9	OTHER	0.000707	0.999293	
A0A5P8YGV1	OTHER	0.017286	0.982714	
A0A5P8YGV9	SP(Sec/SPI)	0.975864	0.024136	CS pos: 20-21. SSA-KL. Pr: 0.4544
A0A5P8YGX7	SP(Sec/SPI)	0.888639	0.111361	CS pos: 22-23. SRA-GQ. Pr: 0.4713
A0A5P8YGX8	SP(Sec/SPI)	0.981392	0.018608	CS pos: 23-24. AHA-AK. Pr: 0.7250
A0A5P8YGY4	OTHER	0.000549	0.999451	
A0A5P8YGY9	OTHER	0.003346	0.996654	
A0A5P8YGZ4	OTHER	0.000820	0.999180	
A0A5P8YH15	OTHER	0.000378	0.999622	
A0A5P8YH44	OTHER	0.001032	0.998968	
A0A5P8YH66	OTHER	0.002946	0.997054	
A0A5P8YH68	OTHER	0.006043	0.993957	
A0A5P8YH73	OTHER	0.003537	0.996463	
A0A5P8YHA5	OTHER	0.000296	0.999704	
A0A5P8YHB2	SP(Sec/SPI)	0.653650	0.346350	CS pos: 24-25. TGC-DN. Pr: 0.3314
A0A5P8YHB7	SP(Sec/SPI)	0.994514	0.005486	CS pos: 23-24. ANA-AD. Pr: 0.7964
A0A5P8YHD0	OTHER	0.006014	0.993986	
A0A5P8YHD9	OTHER	0.026978	0.973022	
A0A5P8YHE4	OTHER	0.005847	0.994153	
A0A5P8YHG3	OTHER	0.001191	0.998809	
A0A5P8YHG6	OTHER	0.001608	0.998392	
A0A5P8YHG9	OTHER	0.037777	0.962223	
A0A5P8YHH5	SP(Sec/SPI)	0.529688	0.470312	CS pos: 22-23. AIA-LD. Pr: 0.3925
A0A5P8YHH6	SP(Sec/SPI)	0.933898	0.066102	CS pos: 25-26. GCG-HQ. Pr: 0.2567
A0A5P8YHH9	OTHER	0.000698	0.999302	
A0A5P8YHI6	SP(Sec/SPI)	0.996389	0.003611	CS pos: 21-22. CVT-AP. Pr: 0.5012
A0A5P8YHJ5	SP(Sec/SPI)	0.995596	0.004404	CS pos: 24-25. AFA-GQ. Pr: 0.6460
A0A5P8YHJ6	SP(Sec/SPI)	0.962877	0.037123	CS pos: 37-38. ANA-ES. Pr: 0.9259
A0A5P8YHJ8	OTHER	0.010802	0.989198	
A0A5P8YHK0	OTHER	0.000868	0.999132	
A0A5P8YHL4	OTHER	0.355889	0.644111	
A0A5P8YHL7	OTHER	0.347667	0.652333	
A0A5P8YHM1	OTHER	0.007592	0.992408	
A0A5P8YHM2	OTHER	0.001012	0.998988	
A0A5P8YHQ0	OTHER	0.004092	0.995908	
A0A5P8YHQ4	OTHER	0.002310	0.997690	
A0A5P8YHQ6	OTHER	0.044629	0.955371	
A0A5P8YHR3	SP(Sec/SPI)	0.568744	0.431256	CS pos: 16-17. AGA-LL. Pr: 0.3370
A0A5P8YHR4	OTHER	0.000823	0.999177	
A0A5P8YHS1	SP(Sec/SPI)	0.991657	0.008343	CS pos: 21-22. CSG-TP. Pr: 0.8573
A0A5P8YHS4	OTHER	0.001095	0.998905	
A0A5P8YHS7	SP(Sec/SPI)	0.819525	0.180475	CS pos: 25-26. CSM-QK. Pr: 0.2302
A0A5P8YHT8	SP(Sec/SPI)	0.993016	0.006984	CS pos: 22-23. AYA-NE. Pr: 0.9765
A0A5P8YHU0	OTHER	0.000394	0.999606	
A0A5P8YHV8	OTHER	0.001218	0.998782	
A0A5P8YHX1	OTHER	0.000833	0.999167	
A0A5P8YHX7	OTHER	0.004815	0.995185	
A0A5P8YHX9	OTHER	0.000248	0.999752	
A0A5P8YHZ7	SP(Sec/SPI)	0.903137	0.096863	CS pos: 29-30. VSG-FS. Pr: 0.6511
A0A5P8YI00	SP(Sec/SPI)	0.994934	0.005066	CS pos: 20-21. GCA-TP. Pr: 0.4471
A0A5P8YI02	SP(Sec/SPI)	0.959513	0.040487	CS pos: 26-27. VYA-EG. Pr: 0.5960
A0A5P8YI11	OTHER	0.016985	0.983015	
A0A5P8YI30	OTHER	0.013387	0.986613	
A0A5P8YI39	OTHER	0.005513	0.994487	
A0A5P8YI53	OTHER	0.000383	0.999617	
A0A5P8YI55	OTHER	0.000871	0.999129	
A0A5P8YI66	SP(Sec/SPI)	0.923598	0.076402	CS pos: 26-27. VSA-AT. Pr: 0.7613
A0A5P8YI71	OTHER	0.000498	0.999502	
A0A5P8YI80	OTHER	0.001938	0.998062	
A0A5P8YI89	SP(Sec/SPI)	0.999060	0.000940	CS pos: 22-23. AQA-ED. Pr: 0.8457
A0A5P8YIB4	OTHER	0.000557	0.999443	
A0A5P8YIB8	OTHER	0.001645	0.998355	
A0A5P8YID1	OTHER	0.000868	0.999132	
A0A5P8YIE8	OTHER	0.000717	0.999283	
A0A5P8YIF0	OTHER	0.003499	0.996501	
A0A5P8YIF1	SP(Sec/SPI)	0.997872	0.002128	CS pos: 19-20. AFA-EN. Pr: 0.9394
A0A5P8YIF5	OTHER	0.004800	0.995200	
A0A5P8YIH7	OTHER	0.000709	0.999291	
A0A5P8YII1	OTHER	0.000864	0.999136	
A0A5P8YII2	OTHER	0.092252	0.907748	
A0A5P8YII7	OTHER	0.000710	0.999290	
A0A5P8YIJ3	OTHER	0.001269	0.998731	
A0A5P8YIK7	SP(Sec/SPI)	0.990406	0.009594	CS pos: 25-26. CSS-QP. Pr: 0.5792
A0A5P8YIL0	OTHER	0.000683	0.999317	
A0A5P8YIL6	OTHER	0.001401	0.998599	
A0A5P8YIM8	OTHER	0.000642	0.999358	
A0A5P8YIN8	OTHER	0.000788	0.999212	
A0A5P8YIP8	OTHER	0.000415	0.999585	
A0A5P8YIQ4	OTHER	0.006484	0.993516	
A0A5P8YIR2	OTHER	0.001746	0.998254	
A0A5P8YIR3	OTHER	0.003173	0.996827	
A0A5P8YIR8	OTHER	0.003157	0.996843	
A0A5P8YIS2	OTHER	0.040746	0.959254	
A0A5P8YIU0	OTHER	0.068882	0.931118	
A0A5P8YIU7	OTHER	0.000347	0.999653	
A0A5P8YIV5	OTHER	0.003934	0.996066	
A0A5P8YIW5	OTHER	0.000369	0.999631	
A0A5P8YIX7	OTHER	0.000834	0.999166	
A0A5P8YIY8	OTHER	0.000596	0.999404	
A0A5P8YJ08	OTHER	0.000370	0.999630	
A0A5P8YJ09	OTHER	0.007793	0.992207	
A0A5P8YJ11	OTHER	0.001157	0.998843	
A0A5P8YJ16	OTHER	0.066649	0.933351	
A0A5P8YJ28	OTHER	0.015398	0.984602	
A0A5P8YJ33	OTHER	0.000775	0.999225	
A0A5P8YJ34	OTHER	0.000439	0.999561	
A0A5P8YJ35	SP(Sec/SPI)	0.989016	0.010984	CS pos: 26-27. LQS-AE. Pr: 0.4705
A0A5P8YJ38	OTHER	0.002155	0.997845	
A0A5P8YJ66	OTHER	0.000353	0.999647	
A0A5P8YJ78	OTHER	0.000872	0.999128	
A0A5P8YJ86	OTHER	0.052531	0.947469	
A0A5P8YJA1	OTHER	0.000998	0.999002	
A0A5P8YJA2	OTHER	0.002768	0.997232	
A0A5P8YJA7	OTHER	0.004645	0.995355	
A0A5P8YJB9	OTHER	0.002342	0.997658	
A0A5P8YJC8	OTHER	0.002632	0.997368	
A0A5P8YJD0	OTHER	0.022322	0.977678	
A0A5P8YJD4	OTHER	0.001522	0.998478	
A0A5P8YJE2	OTHER	0.008527	0.991473	
A0A5P8YJE4	OTHER	0.000968	0.999032	
A0A5P8YJF9	SP(Sec/SPI)	0.885378	0.114622	CS pos: 22-23. SLG-YI. Pr: 0.6997
A0A5P8YJH0	OTHER	0.000951	0.999049	
A0A5P8YJH4	SP(Sec/SPI)	0.754100	0.245900	CS pos: 37-38. AEA-HG. Pr: 0.5882
A0A5P8YJH6	SP(Sec/SPI)	0.839819	0.160181	CS pos: 22-23. SGC-SW. Pr: 0.2696
A0A5P8YJI1	OTHER	0.001614	0.998386	
A0A5P8YJJ3	OTHER	0.000535	0.999465	
A0A5P8YJK9	OTHER	0.318017	0.681983	
A0A5P8YJL4	OTHER	0.001054	0.998946	
A0A5P8YJN9	OTHER	0.000569	0.999431	
A0A5P8YJP5	SP(Sec/SPI)	0.985675	0.014325	CS pos: 30-31. CQA-KP. Pr: 0.9448
A0A5P8YJP7	OTHER	0.001188	0.998812	
A0A5P8YJS7	OTHER	0.001483	0.998517	
A0A5P8YJT2	SP(Sec/SPI)	0.828808	0.171192	CS pos: 25-26. IGC-ND. Pr: 0.2779
A0A5P8YJU6	OTHER	0.000519	0.999481	
A0A5P8YJW0	OTHER	0.002059	0.997941	
A0A5P8YJX1	SP(Sec/SPI)	0.997508	0.002492	CS pos: 19-20. VHA-VD. Pr: 0.9817
A0A5P8YJX7	OTHER	0.008305	0.991695	
A0A5P8YJY0	SP(Sec/SPI)	0.965731	0.034269	CS pos: 21-22. CVG-AV. Pr: 0.4966
A0A5P8YJZ8	OTHER	0.000653	0.999347	
A0A5P8YK02	OTHER	0.114084	0.885916	
A0A5P8YK04	OTHER	0.000992	0.999008	
A0A5P8YK11	SP(Sec/SPI)	0.995795	0.004205	CS pos: 18-19. LLA-AD. Pr: 0.6060
A0A5P8YK13	SP(Sec/SPI)	0.986298	0.013702	CS pos: 19-20. MAA-ER. Pr: 0.4445
A0A5P8YK30	OTHER	0.000673	0.999327	
A0A5P8YK55	OTHER	0.001526	0.998474	
A0A5P8YK58	OTHER	0.001229	0.998771	
A0A5P8YK66	OTHER	0.000602	0.999398	
A0A5P8YK70	OTHER	0.002017	0.997983	
A0A5P8YK72	OTHER	0.001057	0.998943	
A0A5P8YK82	OTHER	0.000223	0.999777	
A0A5P8YKB0	OTHER	0.000703	0.999297	
A0A5P8YKF6	OTHER	0.010413	0.989587	
A0A5P8YKG2	OTHER	0.005198	0.994802	
A0A5P8YKG7	OTHER	0.010562	0.989438	
