ID	Evidences length	Evidences list	Complete evidences
A0A5P8YCB4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A5P8YCE6	1	PHOBIUS_TM	PHOBIUS_TM
Q8ZAE1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8ZCA7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8ZD45	1	SL	SL
A0A0H2W2E8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A0H2W2Y2	1	PHOBIUS_TM	PHOBIUS_TM
A0A0H2W3M7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A0H2W8A6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A2S9PCC5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A2S9PGE8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A2S9PHC7	1	PHOBIUS_TM	PHOBIUS_TM
A0A2U2GY11	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A2U2H088	3	GPI|PHOBIUS_TM|SL	GPI|PHOBIUS_TM|SL
A0A2U2H2A6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A3N4B157	1	PHOBIUS_TM	PHOBIUS_TM
A0A3N4B5A3	1	PHOBIUS_TM	PHOBIUS_TM
A0A3N4BJH7	1	PHOBIUS_TM	PHOBIUS_TM
A0A5P8YB25	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A5P8YE29	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
A0A5P8YL96	1	PHOBIUS_TM	PHOBIUS_TM
A0A5P8YLE9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
P58411	1	PHOBIUS_TM	PHOBIUS_TM
P58492	1	PHOBIUS_TM	PHOBIUS_TM
P68706	1	PHOBIUS_TM	PHOBIUS_TM
P69965	1	PHOBIUS_TM	PHOBIUS_TM
P69972	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q0WCB5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q0WCN4	1	SL	SL
Q0WDX2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q0WEG0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q0WF87	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q0WFU0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q0WJZ4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q74RF8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q74TF8	2	GPI|PHOBIUS_TM	GPI|PHOBIUS_TM
Q7CGD9	1	PHOBIUS_TM	PHOBIUS_TM
Q7CHI2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q7CI09	1	SL	SL
Q7CIC6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q7CJ84	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q7CJ87	1	PHOBIUS_TM	PHOBIUS_TM
