# SignalP-5.0	Organism: euk	
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
A0A384L1G8	SP(Sec/SPI)	0.962631	0.037369	CS pos: 27-28. AAA-TD. Pr: 0.7875
A0A3N4BCC7	OTHER	0.000546	0.999454	
A0A5P8YCT0	OTHER	0.001107	0.998893	
O68691	OTHER	0.001564	0.998436	
P17811	SP(Sec/SPI)	0.969446	0.030554	CS pos: 20-21. ANA-AS. Pr: 0.8338
Q74Y23	OTHER	0.012367	0.987633	
Q8Z9S7	OTHER	0.001759	0.998241	
Q8Z9U1	OTHER	0.052892	0.947108	
Q8ZAN0	OTHER	0.001300	0.998700	
Q8ZCR0	OTHER	0.008303	0.991697	
Q9X6B0	SP(Sec/SPI)	0.997201	0.002799	CS pos: 23-24. AWA-AE. Pr: 0.9800
A0A2U2GXL5	OTHER	0.000941	0.999059	
A0A380PIL6	SP(Sec/SPI)	0.517061	0.482939	CS pos: 20-21. GAA-SI. Pr: 0.1948
A0A380PK62	OTHER	0.000915	0.999085	
A0A380PKJ8	OTHER	0.001214	0.998786	
A0A380PMQ0	OTHER	0.000466	0.999534	
A0A384KQV0	OTHER	0.014280	0.985720	
A0A3N4B351	OTHER	0.006562	0.993438	
A0A3N4BT68	OTHER	0.005427	0.994573	
A0A5P8YCB4	OTHER	0.001748	0.998252	
A0A5P8YCE6	SP(Sec/SPI)	0.914095	0.085905	CS pos: 27-28. SES-NG. Pr: 0.2802
A0A5P8YKD6	OTHER	0.002173	0.997827	
O68703	OTHER	0.000507	0.999493	
O69169	OTHER	0.000810	0.999190	
O69172	OTHER	0.032560	0.967440	
P33086	OTHER	0.000461	0.999539	
P58680	OTHER	0.002665	0.997335	
P59324	OTHER	0.001889	0.998111	
Q0WJU2	OTHER	0.000800	0.999200	
Q0WKI4	OTHER	0.002718	0.997282	
Q56952	SP(Sec/SPI)	0.825229	0.174771	CS pos: 31-32. ALA-EN. Pr: 0.5080
Q74RZ6	OTHER	0.002530	0.997470	
Q7ARI8	OTHER	0.000920	0.999080	
Q7CFU4	OTHER	0.014328	0.985672	
Q7CHH5	SP(Sec/SPI)	0.816415	0.183585	CS pos: 30-31. VQA-QQ. Pr: 0.7732
Q7CJM9	OTHER	0.000935	0.999065	
Q8D0M6	OTHER	0.002294	0.997706	
Q8ZAB3	OTHER	0.002675	0.997325	
Q8ZAE1	OTHER	0.013785	0.986215	
Q8ZAQ5	OTHER	0.001015	0.998985	
Q8ZBN1	OTHER	0.021418	0.978582	
Q8ZBN6	OTHER	0.006901	0.993099	
Q8ZBZ9	OTHER	0.002802	0.997198	
Q8ZC05	OTHER	0.002142	0.997858	
Q8ZC17	OTHER	0.001790	0.998210	
Q8ZC49	OTHER	0.000335	0.999665	
Q8ZCA7	OTHER	0.419730	0.580270	
Q8ZCF3	SP(Sec/SPI)	0.648921	0.351079	CS pos: 31-32. AKA-VG. Pr: 0.4475
Q8ZCP8	OTHER	0.001575	0.998425	
Q8ZD45	OTHER	0.000912	0.999088	
Q8ZD72	OTHER	0.000440	0.999560	
Q8ZDA6	OTHER	0.001596	0.998404	
Q8ZDL2	OTHER	0.001669	0.998331	
Q8ZDX8	OTHER	0.029200	0.970800	
Q8ZE60	OTHER	0.006269	0.993731	
Q8ZEY2	OTHER	0.001029	0.998971	
Q8ZFL4	SP(Sec/SPI)	0.961593	0.038407	CS pos: 20-21. ACS-QP. Pr: 0.3520
Q8ZFR1	OTHER	0.000599	0.999401	
Q8ZFU4	OTHER	0.000954	0.999046	
Q8ZG77	SP(Sec/SPI)	0.999655	0.000345	CS pos: 21-22. AQA-AP. Pr: 0.9503
Q8ZG80	OTHER	0.001206	0.998794	
Q8ZH09	OTHER	0.002155	0.997845	
Q8ZHF4	OTHER	0.000784	0.999216	
Q8ZI60	OTHER	0.003446	0.996554	
Q8ZI64	OTHER	0.003141	0.996859	
Q8ZIF4	OTHER	0.002288	0.997712	
Q8ZIL4	OTHER	0.319618	0.680382	
Q8ZIL5	OTHER	0.003501	0.996499	
Q8ZJM6	OTHER	0.020735	0.979265	
Q8ZJP0	OTHER	0.001198	0.998802	
Q9ETB0	OTHER	0.010739	0.989261	
Q9RI12	OTHER	0.004443	0.995557	
A0A0H2VZY4	OTHER	0.000500	0.999500	
A0A0H2W2E8	OTHER	0.025299	0.974701	
A0A0H2W2N9	SP(Sec/SPI)	0.976452	0.023548	CS pos: 24-25. VSS-VV. Pr: 0.2412
A0A0H2W2Y2	OTHER	0.012027	0.987973	
A0A0H2W3M7	OTHER	0.000794	0.999206	
A0A0H2W7F7	OTHER	0.000735	0.999265	
A0A0H2W8A6	OTHER	0.004074	0.995926	
A0A2S9PAN3	OTHER	0.000825	0.999175	
A0A2S9PB05	OTHER	0.001811	0.998189	
A0A2S9PC51	OTHER	0.001109	0.998891	
A0A2S9PCC5	OTHER	0.001535	0.998465	
A0A2S9PCE7	OTHER	0.000716	0.999284	
A0A2S9PCG6	OTHER	0.001476	0.998524	
A0A2S9PG36	OTHER	0.000599	0.999401	
A0A2S9PGE8	OTHER	0.007579	0.992421	
A0A2S9PGQ4	OTHER	0.000839	0.999161	
A0A2S9PHC7	OTHER	0.008681	0.991319	
A0A2S9PI87	OTHER	0.001878	0.998122	
A0A2S9PIH8	OTHER	0.003267	0.996733	
A0A2S9PJA9	OTHER	0.001152	0.998848	
A0A2S9PKI4	OTHER	0.001634	0.998366	
A0A2S9PKW4	OTHER	0.000951	0.999049	
A0A2S9PLB3	OTHER	0.000629	0.999371	
A0A2S9PLG4	OTHER	0.003709	0.996291	
A0A2S9PLS3	OTHER	0.000441	0.999559	
A0A2S9PLT9	OTHER	0.000467	0.999533	
A0A2S9PLX9	OTHER	0.001620	0.998380	
A0A2S9PM60	OTHER	0.000220	0.999780	
A0A2S9PM76	OTHER	0.000628	0.999372	
A0A2S9PME5	OTHER	0.001673	0.998327	
A0A2S9PMF8	OTHER	0.004262	0.995738	
A0A2U2GV34	OTHER	0.001273	0.998727	
A0A2U2GV86	OTHER	0.002717	0.997283	
A0A2U2GVY7	OTHER	0.001042	0.998958	
A0A2U2GW98	OTHER	0.002113	0.997887	
A0A2U2GWD1	OTHER	0.001522	0.998478	
A0A2U2GY11	OTHER	0.006788	0.993212	
A0A2U2GYU7	OTHER	0.000456	0.999544	
A0A2U2GZM3	OTHER	0.008973	0.991027	
A0A2U2H088	SP(Sec/SPI)	0.571778	0.428222	CS pos: 23-24. SRG-RW. Pr: 0.2092
A0A2U2H0A3	OTHER	0.002099	0.997901	
A0A2U2H0K6	OTHER	0.043845	0.956155	
A0A2U2H0Z1	OTHER	0.002626	0.997374	
A0A2U2H1V4	SP(Sec/SPI)	0.978771	0.021229	CS pos: 21-22. SYA-TD. Pr: 0.8954
A0A2U2H2A6	OTHER	0.020711	0.979289	
A0A2U2H3E7	OTHER	0.001018	0.998982	
A0A2U2H3L4	OTHER	0.002042	0.997958	
A0A2U2H3S9	OTHER	0.006269	0.993731	
A0A2U2H3X0	OTHER	0.000965	0.999035	
A0A2U2H3Z1	OTHER	0.001270	0.998730	
A0A2U2H408	OTHER	0.001298	0.998702	
A0A2U2H471	OTHER	0.011871	0.988129	
A0A380PEX2	OTHER	0.004981	0.995019	
A0A380PEX7	OTHER	0.001568	0.998432	
A0A380PG00	OTHER	0.001589	0.998411	
A0A380PG09	OTHER	0.002310	0.997690	
A0A380PGI3	OTHER	0.003112	0.996888	
A0A380PGV7	OTHER	0.001132	0.998868	
A0A380PH99	OTHER	0.000971	0.999029	
A0A380PI11	OTHER	0.000352	0.999648	
A0A380PJR2	OTHER	0.001272	0.998728	
A0A380PKJ0	OTHER	0.001093	0.998907	
A0A380PKN5	OTHER	0.001463	0.998537	
A0A380PL54	OTHER	0.002365	0.997635	
A0A380PLQ4	OTHER	0.000427	0.999573	
A0A380PME5	OTHER	0.000532	0.999468	
A0A380PMK0	OTHER	0.004922	0.995078	
A0A380PN24	OTHER	0.000992	0.999008	
A0A380PNL1	OTHER	0.013680	0.986320	
A0A380SC20	OTHER	0.001952	0.998048	
A0A384L7T2	OTHER	0.000829	0.999171	
A0A384LK85	OTHER	0.037824	0.962176	
A0A3N4AYG9	OTHER	0.001621	0.998379	
A0A3N4AYX8	OTHER	0.139227	0.860773	
A0A3N4B064	OTHER	0.000539	0.999461	
A0A3N4B0Q2	OTHER	0.002933	0.997067	
A0A3N4B0Y7	OTHER	0.000976	0.999024	
A0A3N4B0Z4	OTHER	0.002395	0.997605	
A0A3N4B123	OTHER	0.001534	0.998466	
A0A3N4B157	OTHER	0.032820	0.967180	
A0A3N4B1S2	OTHER	0.001394	0.998606	
A0A3N4B1Y6	OTHER	0.000730	0.999270	
A0A3N4B5A3	OTHER	0.002926	0.997074	
A0A3N4B6K1	OTHER	0.014605	0.985395	
A0A3N4B6L4	OTHER	0.000417	0.999583	
A0A3N4B6X2	OTHER	0.001921	0.998079	
A0A3N4B9H3	OTHER	0.000579	0.999421	
A0A3N4BAZ3	OTHER	0.002514	0.997486	
A0A3N4BEK2	OTHER	0.003272	0.996728	
A0A3N4BEU0	OTHER	0.013217	0.986783	
A0A3N4BGS6	OTHER	0.001248	0.998752	
A0A3N4BJH7	OTHER	0.006341	0.993659	
A0A3N4BLI0	OTHER	0.184863	0.815137	
A0A3N4BMJ4	OTHER	0.002797	0.997203	
A0A3N4BNY5	OTHER	0.000801	0.999199	
A0A3N4BRI6	OTHER	0.000528	0.999472	
A0A5P8YAI7	OTHER	0.004078	0.995922	
A0A5P8YAV0	OTHER	0.020084	0.979916	
A0A5P8YB25	OTHER	0.001124	0.998876	
A0A5P8YB34	OTHER	0.002277	0.997723	
A0A5P8YB67	OTHER	0.000532	0.999468	
A0A5P8YB96	OTHER	0.000265	0.999735	
A0A5P8YBJ1	OTHER	0.000343	0.999657	
A0A5P8YBU8	OTHER	0.003182	0.996818	
A0A5P8YBY3	SP(Sec/SPI)	0.913858	0.086142	CS pos: 27-28. LSA-AT. Pr: 0.3357
A0A5P8YC09	OTHER	0.003084	0.996916	
A0A5P8YCI1	OTHER	0.008082	0.991918	
A0A5P8YCM5	OTHER	0.008347	0.991653	
A0A5P8YCN9	OTHER	0.000426	0.999574	
A0A5P8YD92	OTHER	0.000515	0.999485	
A0A5P8YE29	OTHER	0.001029	0.998971	
A0A5P8YEE8	OTHER	0.001801	0.998199	
A0A5P8YF73	OTHER	0.000722	0.999278	
A0A5P8YFB8	OTHER	0.018837	0.981163	
A0A5P8YFI9	OTHER	0.003845	0.996155	
A0A5P8YFJ9	OTHER	0.001015	0.998985	
A0A5P8YG10	OTHER	0.013800	0.986200	
A0A5P8YGH9	OTHER	0.007434	0.992566	
A0A5P8YH58	OTHER	0.001161	0.998839	
A0A5P8YHG7	OTHER	0.004823	0.995177	
A0A5P8YHZ4	OTHER	0.001417	0.998583	
A0A5P8YI04	OTHER	0.002438	0.997562	
A0A5P8YIA2	OTHER	0.000818	0.999182	
A0A5P8YIK0	OTHER	0.081300	0.918700	
A0A5P8YIQ8	SP(Sec/SPI)	0.830094	0.169906	CS pos: 26-27. ANA-DD. Pr: 0.7309
A0A5P8YIW2	OTHER	0.013214	0.986786	
A0A5P8YJ65	OTHER	0.000741	0.999259	
A0A5P8YJ91	OTHER	0.001736	0.998264	
A0A5P8YJG2	OTHER	0.001478	0.998522	
A0A5P8YJH5	OTHER	0.002049	0.997951	
A0A5P8YJX5	OTHER	0.001451	0.998549	
A0A5P8YK99	OTHER	0.001885	0.998115	
A0A5P8YKA9	OTHER	0.001720	0.998280	
A0A5P8YKJ8	OTHER	0.027012	0.972988	
A0A5P8YKN0	SP(Sec/SPI)	0.948883	0.051117	CS pos: 27-28. VSA-AA. Pr: 0.3265
A0A5P8YKP4	OTHER	0.000312	0.999688	
A0A5P8YKR3	OTHER	0.001235	0.998765	
A0A5P8YKX6	OTHER	0.001363	0.998637	
A0A5P8YKZ2	OTHER	0.162194	0.837806	
A0A5P8YL20	OTHER	0.000714	0.999286	
A0A5P8YL22	OTHER	0.006333	0.993667	
A0A5P8YL96	OTHER	0.099626	0.900374	
A0A5P8YLE9	OTHER	0.006515	0.993485	
A0A5P8YLN8	OTHER	0.001028	0.998972	
A0A5P8YLP6	OTHER	0.105035	0.894965	
A0A5P8YLU9	OTHER	0.002833	0.997167	
A0A5P8YLY5	OTHER	0.000622	0.999378	
A0A5P8YM39	OTHER	0.001234	0.998766	
A0A5P8YMT9	OTHER	0.000692	0.999308	
A0A5P8YN87	OTHER	0.003245	0.996755	
A0A7Y8UQ71	SP(Sec/SPI)	0.999516	0.000484	CS pos: 20-21. AQA-EE. Pr: 0.9025
O68690	OTHER	0.047372	0.952628	
O68692	OTHER	0.000279	0.999721	
P0C7U7	OTHER	0.000302	0.999698	
P17778	OTHER	0.001162	0.998838	
P26926	SP(Sec/SPI)	0.903323	0.096677	CS pos: 23-24. ANS-AQ. Pr: 0.4343
P31493	OTHER	0.005334	0.994666	
P31522	SP(Sec/SPI)	0.986621	0.013379	CS pos: 26-27. ANA-ST. Pr: 0.9201
P37858	OTHER	0.001650	0.998350	
P40127	OTHER	0.003099	0.996901	
P46355	OTHER	0.006041	0.993959	
P46357	OTHER	0.000856	0.999144	
P46359	SP(Sec/SPI)	0.979342	0.020658	CS pos: 22-23. ANA-QT. Pr: 0.8548
P58411	OTHER	0.072681	0.927319	
P58471	OTHER	0.004973	0.995027	
P58475	OTHER	0.001659	0.998341	
P58482	OTHER	0.000644	0.999356	
P58487	OTHER	0.001645	0.998355	
P58492	OTHER	0.026366	0.973634	
P58497	OTHER	0.002408	0.997592	
P58507	OTHER	0.002771	0.997229	
P58526	OTHER	0.005431	0.994569	
P58534	OTHER	0.013847	0.986153	
P58540	OTHER	0.001609	0.998391	
P58543	OTHER	0.006646	0.993354	
P58582	OTHER	0.000809	0.999191	
P58611	OTHER	0.001563	0.998437	
P58636	OTHER	0.002907	0.997093	
P58644	OTHER	0.001193	0.998807	
P58647	OTHER	0.000865	0.999135	
P58672	OTHER	0.001544	0.998456	
P58719	OTHER	0.001160	0.998840	
P61380	OTHER	0.002030	0.997970	
P68590	OTHER	0.002905	0.997095	
P68641	OTHER	0.002207	0.997793	
P68706	OTHER	0.016257	0.983743	
P69953	OTHER	0.003438	0.996562	
